"LOCATION","Country","VAR","Variable","EDI","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2020-Q3","Q3-2020","NATCUR","National currency","0","Units",,,87292000000,,
"AUS","Australia","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2020-Q4","Q4-2020","NATCUR","National currency","0","Units",,,91833000000,,
"AUS","Australia","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2021-Q1","Q1-2021","NATCUR","National currency","0","Units",,,94751000000,,
"AUS","Australia","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2021-Q2","Q2-2021","NATCUR","National currency","0","Units",,,96332000000,,
"AUS","Australia","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2021-Q3","Q3-2021","NATCUR","National currency","0","Units",,,92351000000,,
"AUS","Australia","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2021-Q4","Q4-2021","NATCUR","National currency","0","Units",,,93585000000,,
"AUS","Australia","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2022-Q1","Q1-2022","NATCUR","National currency","0","Units",,,104376000000,,
"AUS","Australia","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2022-Q2","Q2-2022","NATCUR","National currency","0","Units",,,105859000000,,
"AUS","Australia","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2022-Q3","Q3-2022","NATCUR","National currency","0","Units",,,110021000000,,
"AUT","Austria","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2019-Q3","Q3-2019","NATCUR","National currency","0","Units",,,93600717455,,
"AUT","Austria","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2019-Q4","Q4-2019","NATCUR","National currency","0","Units",,,93154534566,,
"AUT","Austria","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2020-Q1","Q1-2020","NATCUR","National currency","0","Units",,,90821007986,,
"AUT","Austria","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2020-Q2","Q2-2020","NATCUR","National currency","0","Units",,,80538832676,,
"AUT","Austria","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2020-Q3","Q3-2020","NATCUR","National currency","0","Units",,,89641412174,,
"AUT","Austria","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2020-Q4","Q4-2020","NATCUR","National currency","0","Units",,,87917621421,,
"AUT","Austria","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2021-Q1","Q1-2021","NATCUR","National currency","0","Units",,,87031232767,,
"AUT","Austria","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2021-Q2","Q2-2021","NATCUR","National currency","0","Units",,,90608379346,,
"AUT","Austria","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2021-Q3","Q3-2021","NATCUR","National currency","0","Units",,,94518013654,,
"AUT","Austria","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2021-Q4","Q4-2021","NATCUR","National currency","0","Units",,,93237621901,,
"AUT","Austria","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2022-Q1","Q1-2022","NATCUR","National currency","0","Units",,,94385126206,,
"AUT","Austria","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2022-Q2","Q2-2022","NATCUR","National currency","0","Units",,,96213085193,,
"AUT","Austria","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2022-Q3","Q3-2022","NATCUR","National currency","0","Units",,,96419275481,,
"AUT","Austria","102","GDP: Private consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2019-Q3","Q3-2019","NATCUR","National currency","0","Units",,,47544577409,,
"AUT","Austria","102","GDP: Private consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2019-Q4","Q4-2019","NATCUR","National currency","0","Units",,,47657631664,,
"AUT","Austria","102","GDP: Private consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2020-Q1","Q1-2020","NATCUR","National currency","0","Units",,,46665345997,,
"AUT","Austria","102","GDP: Private consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2020-Q2","Q2-2020","NATCUR","National currency","0","Units",,,40577614269,,
"AUT","Austria","102","GDP: Private consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2020-Q3","Q3-2020","NATCUR","National currency","0","Units",,,45227284625,,
"AUT","Austria","102","GDP: Private consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2020-Q4","Q4-2020","NATCUR","National currency","0","Units",,,43420602572,,
"AUT","Austria","102","GDP: Private consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2021-Q1","Q1-2021","NATCUR","National currency","0","Units",,,42591236975,,
"AUT","Austria","102","GDP: Private consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2021-Q2","Q2-2021","NATCUR","National currency","0","Units",,,44604991632,,
"AUT","Austria","102","GDP: Private consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2021-Q3","Q3-2021","NATCUR","National currency","0","Units",,,48313079768,,
"AUT","Austria","102","GDP: Private consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2021-Q4","Q4-2021","NATCUR","National currency","0","Units",,,46314313475,,
"AUT","Austria","102","GDP: Private consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2022-Q1","Q1-2022","NATCUR","National currency","0","Units",,,47881078318,,
"AUT","Austria","102","GDP: Private consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2022-Q2","Q2-2022","NATCUR","National currency","0","Units",,,47550476654,,
"AUT","Austria","102","GDP: Private consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2022-Q3","Q3-2022","NATCUR","National currency","0","Units",,,47387957610,,
"AUT","Austria","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2019-Q3","Q3-2019","NATCUR","National currency","0","Units",,,18064593220,,
"AUT","Austria","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2019-Q4","Q4-2019","NATCUR","National currency","0","Units",,,17771799776,,
"AUT","Austria","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2020-Q1","Q1-2020","NATCUR","National currency","0","Units",,,17736910493,,
"AUT","Austria","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2020-Q2","Q2-2020","NATCUR","National currency","0","Units",,,17459190375,,
"AUT","Austria","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2020-Q3","Q3-2020","NATCUR","National currency","0","Units",,,17836327135,,
"AUT","Austria","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2020-Q4","Q4-2020","NATCUR","National currency","0","Units",,,18264789098,,
"AUT","Austria","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2021-Q1","Q1-2021","NATCUR","National currency","0","Units",,,18393574087,,
"AUT","Austria","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2021-Q2","Q2-2021","NATCUR","National currency","0","Units",,,19230073543,,
"AUT","Austria","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2021-Q3","Q3-2021","NATCUR","National currency","0","Units",,,19500003577,,
"AUT","Austria","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2021-Q4","Q4-2021","NATCUR","National currency","0","Units",,,19793884146,,
"AUT","Austria","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2022-Q1","Q1-2022","NATCUR","National currency","0","Units",,,19438963940,,
"AUT","Austria","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2022-Q2","Q2-2022","NATCUR","National currency","0","Units",,,19785441957,,
"AUT","Austria","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2022-Q3","Q3-2022","NATCUR","National currency","0","Units",,,19803938387,,
"AUT","Austria","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2019-Q3","Q3-2019","NATCUR","National currency","0","Units",,,23248746522,,
"AUT","Austria","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2019-Q4","Q4-2019","NATCUR","National currency","0","Units",,,22862608981,,
"AUT","Austria","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2020-Q1","Q1-2020","NATCUR","National currency","0","Units",,,22576903465,,
"AUT","Austria","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2020-Q2","Q2-2020","NATCUR","National currency","0","Units",,,19931812738,,
"AUT","Austria","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2020-Q3","Q3-2020","NATCUR","National currency","0","Units",,,22566589136,,
"AUT","Austria","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2020-Q4","Q4-2020","NATCUR","National currency","0","Units",,,22734478590,,
"AUT","Austria","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2021-Q1","Q1-2021","NATCUR","National currency","0","Units",,,23919088242,,
"AUT","Austria","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2021-Q2","Q2-2021","NATCUR","National currency","0","Units",,,24452382249,,
"AUT","Austria","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2021-Q3","Q3-2021","NATCUR","National currency","0","Units",,,23440778428,,
"AUT","Austria","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2021-Q4","Q4-2021","NATCUR","National currency","0","Units",,,23682484230,,
"AUT","Austria","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2022-Q1","Q1-2022","NATCUR","National currency","0","Units",,,24070470775,,
"AUT","Austria","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2022-Q2","Q2-2022","NATCUR","National currency","0","Units",,,23567250484,,
"AUT","Austria","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2022-Q3","Q3-2022","NATCUR","National currency","0","Units",,,22738091912,,
"AUT","Austria","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2019-Q3","Q3-2019","NATCUR","National currency","0","Units",,,54167615243,,
"AUT","Austria","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2019-Q4","Q4-2019","NATCUR","National currency","0","Units",,,53818338059,,
"AUT","Austria","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2020-Q1","Q1-2020","NATCUR","National currency","0","Units",,,52172171553,,
"AUT","Austria","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2020-Q2","Q2-2020","NATCUR","National currency","0","Units",,,41855281764,,
"AUT","Austria","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2020-Q3","Q3-2020","NATCUR","National currency","0","Units",,,48518398729,,
"AUT","Austria","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2020-Q4","Q4-2020","NATCUR","National currency","0","Units",,,49322836314,,
"AUT","Austria","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2021-Q1","Q1-2021","NATCUR","National currency","0","Units",,,48007372365,,
"AUT","Austria","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2021-Q2","Q2-2021","NATCUR","National currency","0","Units",,,52502588157,,
"AUT","Austria","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2021-Q3","Q3-2021","NATCUR","National currency","0","Units",,,54588478497,,
"AUT","Austria","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2021-Q4","Q4-2021","NATCUR","National currency","0","Units",,,56168360415,,
"AUT","Austria","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2022-Q1","Q1-2022","NATCUR","National currency","0","Units",,,56415126392,,
"AUT","Austria","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2022-Q2","Q2-2022","NATCUR","National currency","0","Units",,,58348148600,,
"AUT","Austria","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2022-Q3","Q3-2022","NATCUR","National currency","0","Units",,,57393673198,,
"AUT","Austria","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2019-Q3","Q3-2019","NATCUR","National currency","0","Units",,,50041308534,,
"AUT","Austria","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2019-Q4","Q4-2019","NATCUR","National currency","0","Units",,,48742562936,,
"AUT","Austria","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2020-Q1","Q1-2020","NATCUR","National currency","0","Units",,,48556003441,,
"AUT","Austria","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2020-Q2","Q2-2020","NATCUR","National currency","0","Units",,,40752199938,,
"AUT","Austria","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2020-Q3","Q3-2020","NATCUR","National currency","0","Units",,,45012890102,,
"AUT","Austria","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2020-Q4","Q4-2020","NATCUR","National currency","0","Units",,,46883556954,,
"AUT","Austria","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2021-Q1","Q1-2021","NATCUR","National currency","0","Units",,,48773353444,,
"AUT","Austria","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2021-Q2","Q2-2021","NATCUR","National currency","0","Units",,,51314629277,,
"AUT","Austria","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2021-Q3","Q3-2021","NATCUR","National currency","0","Units",,,52160338886,,
"AUT","Austria","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2021-Q4","Q4-2021","NATCUR","National currency","0","Units",,,53434230168,,
"AUT","Austria","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2022-Q1","Q1-2022","NATCUR","National currency","0","Units",,,54103661271,,
"AUT","Austria","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2022-Q2","Q2-2022","NATCUR","National currency","0","Units",,,53316231446,,
